الشعب المصري
حزب النور
شعب مصر
ويكشف تمثيل
أن هناك
مرسي كان
حزب الوسط
فى زمن
تشوفو مصر	
من حكم
يجب أن
على كل
يجب ان
و ليس
قناة الجزيرة
المنعم أبو
و لا
يفضح كذب
في كل
قانون التظاهر
حكم العسكر
فى مصر
من غير
#السادة_المحترمون …	
د عبد
من قبل
أيها الاخوان
يا رب
الرئيس مرسي
أبو الفتوح
يا من
في مصر
# #	
في نفس
في التاريخ
في هذا
في هذه
في ناس
أكثر من
بكره تشوفو
في #مصر
الفتوح :
الحمد لله
عبد المنعم
قبل ان
على مصر
أبشع جريمة
عار عار
مجلس الشعب
لو كان
حتى لو
لله على
كل ما
كل من
لابد من
مصر من
ما يحدث
اول مرة
في العالم
اعلام العار
من أجل
كذب قناة
اكتر من
لا يمكن
الدكتور عبد
ابو الفتوح
من اجل
المجلس العسكري
من كل
فى كل
